Date,pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm),rain accumulation (max),solar radiation units (max)
20/05/2021,9.043013375,19.07106383,18.83725,111.2550459,0.332546448,19.21633609,0.101441678,-8.255423477,1.973029906,0,409.9051724
20/05/2021,9.04343037,19.14531915,18.7,111.1943644,0.332491803,19.22050199,0.101441678,-8.254710253,1.97339192,0,386.2275862
20/05/2021,9.043926042,19.21361702,18.5255,111.135924,0.332437158,19.22467707,0.101441678,-8.249472511,1.973753935,0,362.3689655
20/05/2021,9.044500393,19.27468085,18.31425,111.0777064,0.332382514,19.22883991,0.101441678,-8.239658247,1.974118573,0,338.1172414
20/05/2021,9.045145555,19.32744681,18.0665,111.0196592,0.332338798,19.23298745,0.101441678,-8.225185736,1.974483211,0,314.7017241
20/05/2021,9.045861526,19.37085106,17.787,110.9616252,0.332306011,19.23713499,0.101441678,-8.206805349,1.974847849,0,291.3982759
20/05/2021,9.046656176,19.40425532,17.47725,110.9063434,0.332273224,19.24133456,0.101441678,-8.184717682,1.975212487,0,268.2293103
20/05/2021,9.047576711,19.42702128,17.151,110.8525688,0.332251366,19.24545761,0.101441678,-8.159479941,1.975579748,0,245.2775862
20/05/2021,9.048568057,19.43914894,16.80125,110.7982307,0.332218579,19.24958984,0.101441678,-8.131864785,1.975947009,0,222.7586207
20/05/2021,9.04963808,19.44,16.43075,110.7431062,0.332185792,19.25373431,0.101441678,-8.102013373,1.976314271,0,200.6982759
20/05/2021,9.050778914,19.43212766,16.04425,110.6897379,0.332153005,19.25786348,0.101441678,-8.069442793,1.976681532,0,179.3310345
20/05/2021,9.051966955,19.41361702,15.6445,110.6362254,0.332120219,19.26199265,0.101441678,-8.035542348,1.977048793,0,158.7034483
20/05/2021,9.053225806,19.38446809,15.2355,110.5839318,0.332076503,19.2661157,0.101441678,-8.000497771,1.977416055,0,138.7586207
20/05/2021,9.054539732,19.34553191,14.818,110.5308126,0.332076503,19.27022345,0.101441678,-7.964123328,1.977783316,0,120.0051724
20/05/2021,9.055900865,19.29744681,14.39575,110.4787942,0.332043716,19.27434343,0.101441678,-7.927035661,1.978150577,0,102.2931034
20/05/2021,9.057301338,19.2406383,13.9725,110.4276409,0.332010929,19.27841751,0.101441678,-7.889331352,1.978517838,0,85.84310345
20/05/2021,9.058725413,19.17574468,13.551,110.3758978,0.331989071,19.28248852,0.101441678,-7.851144131,1.978882476,0,70.66206897
20/05/2021,9.06018096,19.10382979,13.13575,110.3254391,0.331978142,19.28655953,0.101441678,-7.813008915,1.979247114,0,56.90517241
20/05/2021,9.061644375,19.02574468,12.7275,110.2761075,0.331956284,19.2905877,0.101428571,-7.775111441,1.979611752,0,44.63275862
20/05/2021,9.063123525,18.94212766,12.3285,110.2269594,0.331945355,19.29463728,0.101402359,-7.737020802,1.979973767,0,33.9637931
20/05/2021,9.064602675,18.85425532,11.93975,110.1755439,0.331912568,19.29864096,0.101389253,-7.698499257,1.980335782,0,24.95172414
20/05/2021,9.066081825,18.76276596,11.56375,110.1347575,0.33189071,19.30264463,0.101389253,-7.660074294,1.980697796,0,17.61724138
20/05/2021,9.067553108,18.66829787,11.201,110.0922543,0.331879781,19.30667585,0.101389253,-7.622080238,1.981057188,0,11.99655172
20/05/2021,9.069016522,18.57148936,10.8525,110.0493709,0.331857923,19.31067034,0.101389253,-7.584420505,1.981416579,0,8.039655172
20/05/2021,9.070464201,18.47297872,10.51875,110.0057143,0.331846995,19.31471687,0.101389253,-7.547325409,1.981775971,0,5.89137931
20/05/2021,9.071896145,18.37297872,10.20275,109.9610092,0.331825137,19.31874503,0.101389253,-7.510475483,1.982135362,0,5.575862069
20/05/2021,9.073312352,18.27191489,9.91475,109.9151376,0.331814208,19.32272727,0.101389253,-7.473959881,1.982494753,0,5.49137931
20/05/2021,9.074704957,18.16978723,9.65625,109.8677457,0.33179235,19.32672176,0.101389253,-7.438060921,1.982854145,0,5.513793103
20/05/2021,9.076073958,18.06723404,9.426,109.8195413,0.331803279,19.33074686,0.101389253,-7.402444279,1.983213536,0,5.536206897
20/05/2021,9.077419355,17.96531915,9.2205,109.7695806,0.331836066,19.33469544,0.101389253,-7.367451709,1.983572928,0,5.55862069
20/05/2021,9.078725413,17.86404255,9.0365,109.7160288,0.331857923,19.33866238,0.101389253,-7.332838039,1.983932319,0,5.577586207
20/05/2021,9.08,17.76319149,8.8745,109.6614679,0.331868852,19.3426232,0.101389253,-7.299086181,1.98429171,0,5.596551724
20/05/2021,9.081243116,17.66297872,8.7325,109.6053997,0.331901639,19.34661157,0.101389253,-7.26627786,1.984651102,0,5.613793103
20/05/2021,9.082446892,17.56340426,8.6105,109.5481913,0.331901639,19.3505479,0.101389253,-7.234420505,1.985010493,0,5.634482759
20/05/2021,9.083603462,17.46510638,8.5055,109.4902359,0.331901639,19.35443832,0.101389253,-7.203514116,1.985369885,0,5.655172414
20/05/2021,9.084704957,17.36765957,8.41625,109.432346,0.331912568,19.35822773,0.101389253,-7.173566122,1.985729276,0,5.674137931
20/05/2021,9.085743509,17.27106383,8.341,109.3720839,0.33189071,19.36195898,0.101389253,-7.145,1.986088667,0,5.693103448
20/05/2021,9.086711251,17.17489362,8.278,109.3107471,0.331868852,19.36563514,0.101389253,-7.117860327,1.986450682,0,5.712068966
21/05/2021,9.087600315,17.07957447,8.22625,109.2469463,0.331868852,19.3692715,0.101389253,-7.09243685,1.986812697,0,5.732758621
21/05/2021,9.088387097,16.98468085,8.184,109.1799869,0.331846995,19.37284971,0.101389253,-7.068491828,1.987174711,0,5.751724138
21/05/2021,9.089071597,16.89042553,8.15,109.1135387,0.331825137,19.37647995,0.101389253,-7.046069837,1.987536726,0,5.775862069
21/05/2021,9.089630212,16.79659574,8.124,109.048637,0.331781421,19.38003061,0.101389253,-7.025215453,1.987898741,0,5.798275862
21/05/2021,9.090015736,16.70361702,8.10525,108.981848,0.331748634,19.38351699,0.101389253,-7.005690936,1.988263379,0,5.818965517
21/05/2021,9.090236035,16.61148936,8.09225,108.9141415,0.331715847,19.38702479,0.101389253,-6.988306092,1.988628017,0,5.84137931
21/05/2021,9.090259638,16.52042553,8.08475,108.8441022,0.331672131,19.39052036,0.101389253,-6.97268945,1.988990031,0,5.85862069
21/05/2021,9.090118017,16.43021277,8.08225,108.7716645,0.331628415,19.39405877,0.101389253,-6.961887073,1.989352046,0,5.875862069
21/05/2021,9.089850511,16.34148936,8.08525,108.697405,0.331584699,19.39757576,0.101389253,-6.952986627,1.989714061,0,5.893103448
21/05/2021,9.089464988,16.25382979,8.095,108.6234862,0.331530055,19.40112948,0.101389253,-6.94589153,1.990076076,0,5.90862069
21/05/2021,9.089016522,16.16808511,8.11275,108.5480996,0.331464481,19.40463728,0.101389253,-6.941367013,1.99043809,0,5.95
21/05/2021,9.088473643,16.08553191,8.1385,108.4712713,0.331409836,19.40820937,0.101389253,-6.939509658,1.990800105,0,6.136206897
21/05/2021,9.087828482,16.00765957,8.174,108.3948624,0.331355191,19.41179369,0.101389253,-6.941077266,1.99116212,0,6.95
21/05/2021,9.087041699,15.93574468,8.2195,108.3167497,0.331300546,19.41539027,0.101389253,-6.946173848,1.991524134,0,7.877586207
21/05/2021,9.086144768,15.8706383,8.27775,108.2396461,0.331256831,19.41899296,0.101389253,-6.955839525,1.991886149,0,8.824137931
21/05/2021,9.085153423,15.81361702,8.35725,108.1625033,0.331224044,19.42258035,0.101389253,-6.970267459,1.99224554,0,10.54137931
21/05/2021,9.084067663,15.76531915,8.46025,108.0830406,0.331202186,19.42619529,0.101389253,-6.989175334,1.992604932,0,16.07586207
21/05/2021,9.08288749,15.72702128,8.589,108.0058191,0.331147541,19.42979798,0.101389253,-7.012459138,1.992948583,0,24.94482759
21/05/2021,9.08166011,15.69957447,8.7435,107.9276409,0.331114754,19.43346189,0.101389253,-7.039502229,1.993284365,0,35.34655172
21/05/2021,9.080377655,15.68276596,8.9285,107.8509174,0.331081967,19.43709826,0.101389253,-7.070304606,1.993617524,0,47.28965517
21/05/2021,9.079032258,15.67617021,9.145,107.7785321,0.331038251,19.44079278,0.101389253,-7.104531947,1.993945435,0,60.7637931
21/05/2021,9.077639654,15.68042553,9.393,107.712346,0.331016393,19.4444873,0.101389253,-7.141812779,1.994273347,0,75.62758621
21/05/2021,9.07620771,15.69489362,9.67275,107.6490039,0.330972678,19.44820937,0.101389253,-7.181857355,1.994601259,0,91.73103448
21/05/2021,9.074736428,15.72,9.97925,107.5857405,0.330939891,19.45192837,0.101389253,-7.224279346,1.994929171,0,109.2206897
21/05/2021,9.073233674,15.75425532,10.3105,107.5253342,0.330907104,19.45564432,0.101389253,-7.268603269,1.99525446,0,127.8758621
21/05/2021,9.071699449,15.79723404,10.664,107.46481,0.330885246,19.45940006,0.101389253,-7.314502229,1.995579748,0,147.8448276
21/05/2021,9.070125885,15.84851064,11.0365,107.4051245,0.330863388,19.46319865,0.101389253,-7.361738484,1.995905037,0,168.4844828
21/05/2021,9.068528718,15.90744681,11.42775,107.3482438,0.33084153,19.46703092,0.101389253,-7.409962853,1.996230325,0,189.7258621
21/05/2021,9.066907946,15.97340426,11.834,107.2924771,0.330819672,19.47088154,0.101402359,-7.459286776,1.996552991,0,211.9103448
21/05/2021,9.06527144,16.04510638,12.24975,107.2375623,0.330797814,19.47475666,0.101441678,-7.509992571,1.996873033,0,235.6741379
21/05/2021,9.063627065,16.12170213,12.673,107.1842333,0.330786885,19.47863177,0.101494102,-7.561129272,1.997193075,0,259.562069
21/05/2021,9.061974823,16.20276596,13.10175,107.1318218,0.330775956,19.48254362,0.101559633,-7.612882615,1.997513116,0,284.5741379
21/05/2021,9.060330448,16.28723404,13.5345,107.0802883,0.330765027,19.48644322,0.10163827,-7.665393759,1.997833158,0,308.8275862
21/05/2021,9.05870181,16.37446809,13.9675,107.0299083,0.330754098,19.490352,0.101716907,-7.718053492,1.9981532,0,332.45
21/05/2021,9.057096774,16.46340426,14.40125,106.982346,0.330743169,19.49429752,0.10180865,-7.771381872,1.998473242,0,355.8431034
21/05/2021,9.055507474,16.55361702,14.83,106.9359895,0.33073224,19.49819712,0.101913499,-7.825520059,1.998793284,0,379.7775862
21/05/2021,9.05393391,16.64531915,15.25225,106.8912713,0.330743169,19.50205999,0.101992136,-7.880178306,1.999113326,0,403.8275862
21/05/2021,9.052391817,16.73787234,15.665,106.8478375,0.330765027,19.50596878,0.102070773,-7.937503715,1.999433368,0,427.1465517
21/05/2021,9.050889064,16.83085106,16.0665,106.8052818,0.330786885,19.5098745,0.10214941,-7.994205052,1.999750787,0,448.9551724
21/05/2021,9.049425649,16.92382979,16.455,106.7638925,0.330808743,19.51379859,0.102214941,-8.051337296,2.000068206,0,469.9155172
21/05/2021,9.048009441,17.01595745,16.834,106.7228178,0.330797814,19.51774717,0.10225426,-8.108900446,2.000385624,0,490.2189655
21/05/2021,9.046640441,17.10680851,17.19775,106.6842333,0.330819672,19.52169575,0.102293578,-8.166270431,2.000703043,0,508.6827586
21/05/2021,9.04534225,17.19617021,17.5455,106.6462516,0.330830601,19.52564126,0.10231979,-8.222741456,2.001020462,0,525.8775862
21/05/2021,9.04411487,17.28382979,17.87675,106.6074574,0.33084153,19.52958372,0.102332896,-8.277875186,2.00133788,0,541.9534483
21/05/2021,9.042942565,17.37021277,18.17825,106.5687287,0.330852459,19.53349556,0.102332896,-8.331389302,2.001655299,0,556.0586207
21/05/2021,9.04184107,17.45489362,18.44925,106.530118,0.330852459,19.53744108,0.102332896,-8.382763744,2.001972718,0,564.9224138
21/05/2021,9.04086546,17.53851064,18.69125,106.4936173,0.330874317,19.54138965,0.102332896,-8.432800892,2.002287513,0,568.9982759
21/05/2021,9.040039339,17.6206383,18.9085,106.4563565,0.330896175,19.54533211,0.102332896,-8.482414562,2.002602308,0,569.9051724
21/05/2021,9.03938631,17.7012766,19.10275,106.4208519,0.330918033,19.54927456,0.102332896,-8.531218425,2.002919727,0,567.7017241
